,timestamp,event_name,source,fields,severity,message
437,1664582401,interface_down,tun-1-1-75-2,"[{""device_name"": ""E-1-1"", ""interface_name"": ""tun-75-2"", ""link_id"": ""tun-1-1-75-2""}]",error,2022-10-01 00:00:01: if_mgr[7506]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-75-2 in device E-1-1
438,1664582401,interface_local_fault,tun-1-1-78-1,"[{""device_name"": ""E-1-1"", ""interface_name"": ""tun-78-1"", ""link_id"": ""tun-1-1-78-1""}]",critical,"2022-10-01 00:00:01: npu_drvr[5328]: %PLATFORM-VETH_PD-2-RX_FAULT : Interface tun-78-1, Detected Local Fault"
439,1664582401,bgp_session_up,tun-1-1-87-1,"[{""device_name"": ""E-1-1"", ""local_address"": ""1.1.87.11/30"", ""remote_peer_address"": ""1.1.87.12/30"", ""remote_id"": ""E-87-1""}]",info,2022-10-01 00:00:01: bgp_mgr[9613]: %BGP-STATE_MGR-3-STATE_CHANGE_EVENT : BGP session to 1.1.87.12/30 changed state to up in device E-1-1
440,1664582401,interface_down,tun-1-1-95-1,"[{""device_name"": ""E-1-1"", ""interface_name"": ""tun-95-1"", ""link_id"": ""tun-1-1-95-1""}]",error,2022-10-01 00:00:01: if_mgr[3666]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-95-1 in device E-1-1
441,1664582401,interface_down,tun-1-1-98-2,"[{""device_name"": ""E-1-1"", ""interface_name"": ""tun-98-2"", ""link_id"": ""tun-1-1-98-2""}]",error,2022-10-01 00:00:01: if_mgr[2959]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-98-2 in device E-1-1
434,1664582401,interface_optics_fault,tun-1-1-61-1,"[{""device_name"": ""E-1-1"", ""interface_name"": ""tun-61-1"", ""link_id"": ""tun-1-1-61-1""}]",critical,2022-10-01 00:00:01: lda_server[1140]: %PKT_INFRA-FM-3-FAULT_MAJOR : ALARM_MAJOR :OPTICS RX POWER LANE-3 HIGH WARNING :CLEAR tun-61-1
442,1664582401,bgp_session_down,tun-1-2-3-2,"[{""device_name"": ""E-1-2"", ""local_address"": ""1.2.3.21/30"", ""remote_peer_address"": ""1.2.3.22/30"", ""remote_id"": ""E-3-2""}]",critical,2022-10-01 00:00:01: bgp_mgr[373]: %BGP-STATE_MGR-3-STATE_CHANGE_EVENT : BGP session to 1.2.3.22/30 changed state to down in device E-1-2
424,1664582401,interface_down,11.1.100,"[{""device_name"": ""PE-100"", ""interface_name"": ""et-1-1-1"", ""link_id"": ""11.1.100""}]",error,2022-10-01 00:00:01: if_mgr[818]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: et-1-1-1 in device PE-100
422,1664582401,bgp_session_down,12.98.1,"[{""device_name"": ""PE-98"", ""local_address"": ""12.98.1.1/30"", ""remote_peer_address"": ""12.98.1.2/30"", ""remote_id"": ""E-98-1""}]",critical,2022-10-01 00:00:01: bgp_mgr[4382]: %BGP-STATE_MGR-3-STATE_CHANGE_EVENT : BGP session to 12.98.1.2/30 changed state to down in device PE-98
406,1664582401,bgp_session_down,11.1.76,"[{""device_name"": ""PE-76"", ""local_address"": ""11.1.76.2/30"", ""remote_peer_address"": ""11.1.76.1/30"", ""remote_id"": ""C-1""}]",critical,2022-10-01 00:00:01: bgp_mgr[265]: %BGP-STATE_MGR-3-STATE_CHANGE_EVENT : BGP session to 11.1.76.1/30 changed state to down in device PE-76
407,1664582401,interface_down,11.3.76,"[{""device_name"": ""PE-76"", ""interface_name"": ""et-1-1-3"", ""link_id"": ""11.3.76""}]",error,2022-10-01 00:00:01: if_mgr[6122]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: et-1-1-3 in device PE-76
408,1664582401,interface_optics_fault,11.1.78,"[{""device_name"": ""PE-78"", ""interface_name"": ""et-1-1-1"", ""link_id"": ""11.1.78""}]",critical,2022-10-01 00:00:01: lda_server[7172]: %PKT_INFRA-FM-3-FAULT_MAJOR : ALARM_MAJOR :OPTICS RX POWER LANE-3 HIGH WARNING :CLEAR et-1-1-1
409,1664582401,interface_up,12.83.1,"[{""device_name"": ""PE-83"", ""interface_name"": ""et-1-2-1"", ""link_id"": ""12.83.1""}]",info,2022-10-01 00:00:01: if_mgr[8920]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to up: et-1-2-1 in device PE-83
410,1664582401,interface_up,12.83.2,"[{""device_name"": ""PE-83"", ""interface_name"": ""et-1-2-2"", ""link_id"": ""12.83.2""}]",info,2022-10-01 00:00:01: if_mgr[6149]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to up: et-1-2-2 in device PE-83
411,1664582401,bgp_session_up,11.1.84,"[{""device_name"": ""PE-84"", ""local_address"": ""11.1.84.2/30"", ""remote_peer_address"": ""11.1.84.1/30"", ""remote_id"": ""C-1""}]",info,2022-10-01 00:00:01: bgp_mgr[1384]: %BGP-STATE_MGR-3-STATE_CHANGE_EVENT : BGP session to 11.1.84.1/30 changed state to up in device PE-84
412,1664582401,interface_down,11.3.86,"[{""device_name"": ""PE-86"", ""interface_name"": ""et-1-1-3"", ""link_id"": ""11.3.86""}]",error,2022-10-01 00:00:01: if_mgr[4641]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: et-1-1-3 in device PE-86
423,1664582401,interface_down,12.99.1,"[{""device_name"": ""PE-99"", ""interface_name"": ""et-1-2-1"", ""link_id"": ""12.99.1""}]",error,2022-10-01 00:00:01: if_mgr[9967]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: et-1-2-1 in device PE-99
413,1664582401,interface_down,11.1.87,"[{""device_name"": ""PE-87"", ""interface_name"": ""et-1-1-1"", ""link_id"": ""11.1.87""}]",error,2022-10-01 00:00:01: if_mgr[7347]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: et-1-1-1 in device PE-87
415,1664582401,bgp_session_up,11.1.88,"[{""device_name"": ""PE-88"", ""local_address"": ""11.1.88.2/30"", ""remote_peer_address"": ""11.1.88.1/30"", ""remote_id"": ""C-1""}]",info,2022-10-01 00:00:01: bgp_mgr[1107]: %BGP-STATE_MGR-3-STATE_CHANGE_EVENT : BGP session to 11.1.88.1/30 changed state to up in device PE-88
416,1664582401,interface_down,11.3.88,"[{""device_name"": ""PE-88"", ""interface_name"": ""et-1-1-3"", ""link_id"": ""11.3.88""}]",error,2022-10-01 00:00:01: if_mgr[4392]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: et-1-1-3 in device PE-88
417,1664582401,interface_down,11.2.90,"[{""device_name"": ""PE-90"", ""interface_name"": ""et-1-1-2"", ""link_id"": ""11.2.90""}]",error,2022-10-01 00:00:01: if_mgr[5155]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: et-1-1-2 in device PE-90
418,1664582401,interface_down,11.4.90,"[{""device_name"": ""PE-90"", ""interface_name"": ""et-1-1-4"", ""link_id"": ""11.4.90""}]",error,2022-10-01 00:00:01: if_mgr[8338]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: et-1-1-4 in device PE-90
419,1664582401,interface_down,11.2.91,"[{""device_name"": ""PE-91"", ""interface_name"": ""et-1-1-2"", ""link_id"": ""11.2.91""}]",error,2022-10-01 00:00:01: if_mgr[6795]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: et-1-1-2 in device PE-91
420,1664582401,interface_down,12.92.1,"[{""device_name"": ""PE-92"", ""interface_name"": ""et-1-2-1"", ""link_id"": ""12.92.1""}]",error,2022-10-01 00:00:01: if_mgr[5298]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: et-1-2-1 in device PE-92
421,1664582401,interface_down,12.94.2,"[{""device_name"": ""PE-94"", ""interface_name"": ""et-1-2-2"", ""link_id"": ""12.94.2""}]",error,2022-10-01 00:00:01: if_mgr[7821]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: et-1-2-2 in device PE-94
414,1664582401,interface_local_fault,11.4.87,"[{""device_name"": ""PE-87"", ""interface_name"": ""et-1-1-4"", ""link_id"": ""11.4.87""}]",critical,"2022-10-01 00:00:01: npu_drvr[6159]: %PLATFORM-VETH_PD-2-RX_FAULT : Interface et-1-1-4, Detected Local Fault"
405,1664582401,interface_down,11.1.74,"[{""device_name"": ""PE-74"", ""interface_name"": ""et-1-1-1"", ""link_id"": ""11.1.74""}]",error,2022-10-01 00:00:01: if_mgr[2588]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: et-1-1-1 in device PE-74
443,1664582401,interface_down,tun-1-2-5-2,"[{""device_name"": ""E-1-2"", ""interface_name"": ""tun-5-2"", ""link_id"": ""tun-1-2-5-2""}]",error,2022-10-01 00:00:01: if_mgr[3512]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-5-2 in device E-1-2
445,1664582401,interface_down,tun-1-2-23-2,"[{""device_name"": ""E-1-2"", ""interface_name"": ""tun-23-2"", ""link_id"": ""tun-1-2-23-2""}]",error,2022-10-01 00:00:01: if_mgr[2473]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-23-2 in device E-1-2
466,1664582401,interface_down,tun-1-2-8-1,"[{""device_name"": ""E-8-1"", ""interface_name"": ""tun-1-2"", ""link_id"": ""tun-1-2-8-1""}]",error,2022-10-01 00:00:01: if_mgr[4505]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-1-2 in device E-8-1
467,1664582401,interface_down,tun-100-1-8-1,"[{""device_name"": ""E-8-1"", ""interface_name"": ""tun-100-1"", ""link_id"": ""tun-100-1-8-1""}]",error,2022-10-01 00:00:01: if_mgr[8564]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-100-1 in device E-8-1
468,1664582401,interface_down,tun-1-1-10-1,"[{""device_name"": ""E-10-1"", ""interface_name"": ""tun-1-1"", ""link_id"": ""tun-1-1-10-1""}]",error,2022-10-01 00:00:01: if_mgr[1201]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-1-1 in device E-10-1
469,1664582401,interface_down,tun-1-2-10-1,"[{""device_name"": ""E-10-1"", ""interface_name"": ""tun-1-2"", ""link_id"": ""tun-1-2-10-1""}]",error,2022-10-01 00:00:01: if_mgr[4838]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-1-2 in device E-10-1
470,1664582401,interface_up,tun-1-2-10-1,"[{""device_name"": ""E-10-1"", ""interface_name"": ""tun-1-2"", ""link_id"": ""tun-1-2-10-1""}]",info,2022-10-01 00:00:01: if_mgr[195]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to up: tun-1-2 in device E-10-1
471,1664582401,interface_down,12.11.1,"[{""device_name"": ""E-11-1"", ""interface_name"": ""et-1-1-1"", ""link_id"": ""12.11.1""}]",error,2022-10-01 00:00:01: if_mgr[2904]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: et-1-1-1 in device E-11-1
472,1664582401,interface_local_fault,tun-100-2-12-1,"[{""device_name"": ""E-12-1"", ""interface_name"": ""tun-100-2"", ""link_id"": ""tun-100-2-12-1""}]",critical,"2022-10-01 00:00:01: npu_drvr[2349]: %PLATFORM-VETH_PD-2-RX_FAULT : Interface tun-100-2, Detected Local Fault"
465,1664582401,interface_down,tun-1-2-7-1,"[{""device_name"": ""E-7-1"", ""interface_name"": ""tun-1-2"", ""link_id"": ""tun-1-2-7-1""}]",error,2022-10-01 00:00:01: if_mgr[1047]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-1-2 in device E-7-1
473,1664582401,interface_down,tun-1-1-14-1,"[{""device_name"": ""E-14-1"", ""interface_name"": ""tun-1-1"", ""link_id"": ""tun-1-1-14-1""}]",error,2022-10-01 00:00:01: if_mgr[8883]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-1-1 in device E-14-1
475,1664582401,interface_down,tun-1-2-16-2,"[{""device_name"": ""E-16-2"", ""interface_name"": ""tun-1-2"", ""link_id"": ""tun-1-2-16-2""}]",error,2022-10-01 00:00:01: if_mgr[8649]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-1-2 in device E-16-2
476,1664582401,interface_down,tun-100-1-17-2,"[{""device_name"": ""E-17-2"", ""interface_name"": ""tun-100-1"", ""link_id"": ""tun-100-1-17-2""}]",error,2022-10-01 00:00:01: if_mgr[9058]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-100-1 in device E-17-2
477,1664582401,interface_down,tun-100-1-18-2,"[{""device_name"": ""E-18-2"", ""interface_name"": ""tun-100-1"", ""link_id"": ""tun-100-1-18-2""}]",error,2022-10-01 00:00:01: if_mgr[2705]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-100-1 in device E-18-2
478,1664582401,interface_down,12.19.1,"[{""device_name"": ""E-19-1"", ""interface_name"": ""et-1-1-1"", ""link_id"": ""12.19.1""}]",error,2022-10-01 00:00:01: if_mgr[7522]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: et-1-1-1 in device E-19-1
479,1664582401,interface_local_fault,tun-100-1-23-2,"[{""device_name"": ""E-23-2"", ""interface_name"": ""tun-100-1"", ""link_id"": ""tun-100-1-23-2""}]",critical,"2022-10-01 00:00:01: npu_drvr[7420]: %PLATFORM-VETH_PD-2-RX_FAULT : Interface tun-100-1, Detected Local Fault"
480,1664582401,interface_down,tun-1-1-24-2,"[{""device_name"": ""E-24-2"", ""interface_name"": ""tun-1-1"", ""link_id"": ""tun-1-1-24-2""}]",error,2022-10-01 00:00:01: if_mgr[5328]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-1-1 in device E-24-2
481,1664582401,interface_down,tun-1-2-25-2,"[{""device_name"": ""E-25-2"", ""interface_name"": ""tun-1-2"", ""link_id"": ""tun-1-2-25-2""}]",error,2022-10-01 00:00:01: if_mgr[9657]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-1-2 in device E-25-2
474,1664582401,interface_optics_fault,tun-100-2-15-1,"[{""device_name"": ""E-15-1"", ""interface_name"": ""tun-100-2"", ""link_id"": ""tun-100-2-15-1""}]",critical,2022-10-01 00:00:01: lda_server[2765]: %PKT_INFRA-FM-3-FAULT_MAJOR : ALARM_MAJOR :OPTICS RX POWER LANE-3 HIGH WARNING :CLEAR tun-100-2
444,1664582401,interface_down,tun-1-2-16-2,"[{""device_name"": ""E-1-2"", ""interface_name"": ""tun-16-2"", ""link_id"": ""tun-1-2-16-2""}]",error,2022-10-01 00:00:01: if_mgr[8917]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-16-2 in device E-1-2
464,1664582401,interface_local_fault,12.3.1,"[{""device_name"": ""E-3-1"", ""interface_name"": ""et-1-1-1"", ""link_id"": ""12.3.1""}]",critical,"2022-10-01 00:00:01: npu_drvr[4575]: %PLATFORM-VETH_PD-2-RX_FAULT : Interface et-1-1-1, Detected Local Fault"
462,1664582401,interface_down,12.2.1,"[{""device_name"": ""E-2-1"", ""interface_name"": ""et-1-1-1"", ""link_id"": ""12.2.1""}]",error,2022-10-01 00:00:01: if_mgr[1410]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: et-1-1-1 in device E-2-1
446,1664582401,interface_local_fault,tun-1-2-23-2,"[{""device_name"": ""E-1-2"", ""interface_name"": ""tun-23-2"", ""link_id"": ""tun-1-2-23-2""}]",critical,"2022-10-01 00:00:01: npu_drvr[2744]: %PLATFORM-VETH_PD-2-RX_FAULT : Interface tun-23-2, Detected Local Fault"
447,1664582401,interface_down,tun-1-2-36-1,"[{""device_name"": ""E-1-2"", ""interface_name"": ""tun-36-1"", ""link_id"": ""tun-1-2-36-1""}]",error,2022-10-01 00:00:01: if_mgr[4660]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-36-1 in device E-1-2
448,1664582401,interface_down,tun-1-2-43-2,"[{""device_name"": ""E-1-2"", ""interface_name"": ""tun-43-2"", ""link_id"": ""tun-1-2-43-2""}]",error,2022-10-01 00:00:01: if_mgr[2619]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-43-2 in device E-1-2
449,1664582401,interface_down,tun-1-2-52-1,"[{""device_name"": ""E-1-2"", ""interface_name"": ""tun-52-1"", ""link_id"": ""tun-1-2-52-1""}]",error,2022-10-01 00:00:01: if_mgr[6660]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-52-1 in device E-1-2
450,1664582401,interface_down,tun-1-2-54-2,"[{""device_name"": ""E-1-2"", ""interface_name"": ""tun-54-2"", ""link_id"": ""tun-1-2-54-2""}]",error,2022-10-01 00:00:01: if_mgr[5653]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-54-2 in device E-1-2
451,1664582401,interface_optics_fault,tun-1-2-57-2,"[{""device_name"": ""E-1-2"", ""interface_name"": ""tun-57-2"", ""link_id"": ""tun-1-2-57-2""}]",critical,2022-10-01 00:00:01: lda_server[2778]: %PKT_INFRA-FM-3-FAULT_MAJOR : ALARM_MAJOR :OPTICS RX POWER LANE-3 HIGH WARNING :CLEAR tun-57-2
452,1664582401,interface_down,tun-1-2-63-2,"[{""device_name"": ""E-1-2"", ""interface_name"": ""tun-63-2"", ""link_id"": ""tun-1-2-63-2""}]",error,2022-10-01 00:00:01: if_mgr[4670]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-63-2 in device E-1-2
463,1664582401,interface_down,tun-100-2-2-2,"[{""device_name"": ""E-2-2"", ""interface_name"": ""tun-100-2"", ""link_id"": ""tun-100-2-2-2""}]",error,2022-10-01 00:00:01: if_mgr[391]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-100-2 in device E-2-2
453,1664582401,interface_down,tun-1-2-64-1,"[{""device_name"": ""E-1-2"", ""interface_name"": ""tun-64-1"", ""link_id"": ""tun-1-2-64-1""}]",error,2022-10-01 00:00:01: if_mgr[3664]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-64-1 in device E-1-2
455,1664582401,interface_up,tun-1-2-69-2,"[{""device_name"": ""E-1-2"", ""interface_name"": ""tun-69-2"", ""link_id"": ""tun-1-2-69-2""}]",info,2022-10-01 00:00:01: if_mgr[826]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to up: tun-69-2 in device E-1-2
456,1664582401,interface_up,tun-1-2-70-1,"[{""device_name"": ""E-1-2"", ""interface_name"": ""tun-70-1"", ""link_id"": ""tun-1-2-70-1""}]",info,2022-10-01 00:00:01: if_mgr[959]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to up: tun-70-1 in device E-1-2
457,1664582401,interface_local_fault,tun-1-2-77-1,"[{""device_name"": ""E-1-2"", ""interface_name"": ""tun-77-1"", ""link_id"": ""tun-1-2-77-1""}]",critical,"2022-10-01 00:00:01: npu_drvr[1796]: %PLATFORM-VETH_PD-2-RX_FAULT : Interface tun-77-1, Detected Local Fault"
458,1664582401,interface_down,tun-1-2-77-2,"[{""device_name"": ""E-1-2"", ""interface_name"": ""tun-77-2"", ""link_id"": ""tun-1-2-77-2""}]",error,2022-10-01 00:00:01: if_mgr[6136]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-77-2 in device E-1-2
459,1664582401,bgp_session_down,tun-1-2-78-1,"[{""device_name"": ""E-1-2"", ""local_address"": ""1.2.78.11/30"", ""remote_peer_address"": ""1.2.78.12/30"", ""remote_id"": ""E-78-1""}]",critical,2022-10-01 00:00:01: bgp_mgr[3157]: %BGP-STATE_MGR-3-STATE_CHANGE_EVENT : BGP session to 1.2.78.12/30 changed state to down in device E-1-2
460,1664582401,interface_local_fault,tun-1-2-87-1,"[{""device_name"": ""E-1-2"", ""interface_name"": ""tun-87-1"", ""link_id"": ""tun-1-2-87-1""}]",critical,"2022-10-01 00:00:01: npu_drvr[2018]: %PLATFORM-VETH_PD-2-RX_FAULT : Interface tun-87-1, Detected Local Fault"
461,1664582401,interface_down,tun-1-2-93-2,"[{""device_name"": ""E-1-2"", ""interface_name"": ""tun-93-2"", ""link_id"": ""tun-1-2-93-2""}]",error,2022-10-01 00:00:01: if_mgr[7148]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: tun-93-2 in device E-1-2
454,1664582401,interface_optics_fault,tun-1-2-64-2,"[{""device_name"": ""E-1-2"", ""interface_name"": ""tun-64-2"", ""link_id"": ""tun-1-2-64-2""}]",critical,2022-10-01 00:00:01: lda_server[7542]: %PKT_INFRA-FM-3-FAULT_MAJOR : ALARM_MAJOR :OPTICS RX POWER LANE-3 HIGH WARNING :CLEAR tun-64-2
404,1664582401,bgp_session_down,11.2.69,"[{""device_name"": ""PE-69"", ""local_address"": ""11.2.69.2/30"", ""remote_peer_address"": ""11.2.69.1/30"", ""remote_id"": ""C-2""}]",critical,2022-10-01 00:00:01: bgp_mgr[2823]: %BGP-STATE_MGR-3-STATE_CHANGE_EVENT : BGP session to 11.2.69.1/30 changed state to down in device PE-69
403,1664582401,interface_up,11.2.69,"[{""device_name"": ""PE-69"", ""interface_name"": ""et-1-1-2"", ""link_id"": ""11.2.69""}]",info,2022-10-01 00:00:01: if_mgr[1534]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to up: et-1-1-2 in device PE-69
402,1664582401,interface_up,11.2.65,"[{""device_name"": ""PE-65"", ""interface_name"": ""et-1-1-2"", ""link_id"": ""11.2.65""}]",info,2022-10-01 00:00:01: if_mgr[2350]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to up: et-1-1-2 in device PE-65
345,1664582401,interface_down,11.3.43,"[{""device_name"": ""C-3"", ""interface_name"": ""et-1-1-43"", ""link_id"": ""11.3.43""}]",error,2022-10-01 00:00:01: if_mgr[7081]: %INTF-STATE_MGR-3-STATE_CHANGE_EVENT : Interface changed state to down: et-1-1-43 in device C-3
346,1664582401,interface_local_fault,11.3.46,"[{""device_name"": ""C-3"", ""interface_name"": ""et-1-1-46"", ""link_id"": ""11.3.46""}]",critical,"2022-10-01 00:00:01: npu_drvr[3944]: %PLATFORM-VETH_PD-2-RX_FAULT : Interface et-1-1-46, Detected Local Fault"
347,1664582401,bgp_session_down,11.3.48,"[{""device_name"": ""C-3"", ""local_address"": ""11.3.48.1/30"", ""remote_peer_address"": ""11.3.48.2/30"", ""remote_id"": ""PE-48""}]",critical,2022-10-01 00:00:01: bgp_mgr[5103]: %BGP-STATE_MGR-3-STATE_CHANGE_EVENT : BGP session to 11.3.48.2/30 changed state to down in device C-3
348,1664582401,interface_local_fault,11.3.54,"[{""device_name"": ""C-3"", ""interface_name"": ""et-1-1-54"", ""link_id"": ""11.3.54""}]",critical,"2022-10-01 00:00:01: npu_drvr[4756]: %PLATFORM-VETH_PD-2-RX_FAULT : Interface et-1-1-54, Detected Local Fault"
